Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
21-11-2011,228,228,220,222.324997,208.126526,5097018,
22-11-2011,223.5,224.75,220,222.024994,207.845688,7609152,
23-11-2011,220.875,220.875,207.100006,213.050003,199.443863,12782818,
24-11-2011,214.399994,217.5,205.649994,214.824997,201.10553,14442594,
25-11-2011,213.875,217.449997,209.524994,215.449997,201.690598,9453234,
28-11-2011,218,222.475006,217.050003,220.425003,206.347885,5445858,
29-11-2011,222,222.774994,216.100006,217.600006,203.703293,7415512,
30-11-2011,214.600006,224.824997,214.600006,221.25,207.120209,14107274,
01-12-2011,229.475006,233.5,224.725006,226.75,212.268951,6964892,
02-12-2011,227.574997,233.949997,226.574997,233,218.119781,5618514,
05-12-2011,231.850006,233.725006,229,231.175003,216.411346,4376614,
07-12-2011,235,235.449997,231.050003,233.550003,218.634705,5586472,
08-12-2011,233.5,233.850006,225.550003,226.875,212.385956,6278500,
09-12-2011,223.5,225.600006,220.25,221.875,207.705276,6803456,
12-12-2011,224.050003,225.475006,213.149994,216.024994,202.228882,6035578,
13-12-2011,214,222.699997,213,219.199997,205.201096,7462940,
14-12-2011,219.5,221.875,215.125,217.175003,203.305435,12153362,
15-12-2011,214.5,218,213.5,215.675003,201.901199,13480070,
16-12-2011,217.050003,220.25,205,207.649994,194.388718,14712410,
19-12-2011,206.024994,206.5,200.125,203,190.035721,16170762,
20-12-2011,203,210.800003,202,207.100006,193.873825,9991784,
21-12-2011,213,219.699997,208.899994,217.725006,203.820313,7493440,
22-12-2011,215.75,222.399994,214.399994,221.425003,207.284012,6788034,
23-12-2011,222.100006,223.25,218,218.774994,204.803238,3427650,
26-12-2011,219.5,222.699997,218.524994,221.850006,207.681854,2282380,
27-12-2011,220.149994,221.800003,217.850006,219.850006,205.809601,3147118,
28-12-2011,221.25,221.5,216.524994,219.899994,205.8564,3834170,
29-12-2011,217.824997,221,213,214.800003,201.082123,5465314,
30-12-2011,216.899994,217,211.050003,213.425003,199.794937,3838208,
02-01-2012,214.449997,214.899994,209.75,213.425003,199.794937,3514998,
03-01-2012,215.699997,220.449997,215,219.574997,205.552139,3439238,
04-01-2012,220.949997,222.475006,215.425003,221.649994,207.494644,4871478,
05-01-2012,222,223.350006,220.149994,221.824997,207.658463,3380606,
06-01-2012,220.5,228.574997,219.475006,226.649994,212.175323,3977222,
